Codigo de Barras;Nome do Produto;Status;Preço Final (consumidor);Qtd.Estoque;Data de vencimento
789 75172 0655 0;MOLHO DE TOMATE FUNGINI;Desbloqueado;R$ 2,49;0;Não Informado
Não Informado;MACARRÃO GALO PARAFUSO 500G;Desbloqueado;R$ 5,29;3;Não Informado
7894900180541;REFRIGERANTE CITRUS SCHWEPPES 1,5L;Desbloqueado;R$ 8,99;0;Não Informado
7894900360011;ÁGUA TÔNICA SCHWEPPES SEM/COM AÇUCAR;Desbloqueado;R$ 3,69;0;Não Informado
7896036099544;MOLHO DE TOMATE TARANTELLA;Desbloqueado;R$ 1,99;0;Não Informado
17898915949206;CERVEJA IMPERIO;Desbloqueado;R$ 3,29;0;Não Informado
7891149109050;BRAHMA DUPLO MALTE 269ML;Desbloqueado;R$ 2,89;0;Não Informado
7891149109746;CERVEJA SKOL LATA 350ML;Desbloqueado;R$ 4,59;0;Não Informado
7898665540763;PÃO DE QUEIJO BIACCINO 1KG;Desbloqueado;R$ 19,99;0;Não Informado
7891991010481;CERVEJA BUDWEISER;Desbloqueado;R$ 4,99;0;Não Informado
7894900611014;SUCO 100% UVA DEL VALLE;Desbloqueado;R$ 11,99;0;Não Informado
7896444920300;GUARANAVITON AÇAI 500 ML;Desbloqueado;R$ 2,99;0;Não Informado
7892840823412;BATATA LAYS 115G (TODOS SABORES);Desbloqueado;R$ 17,99;0;Não Informado
7891515786298;BIG CHICKEN PERDIGÃO 1KG;Desbloqueado;R$ 21,99;0;Não Informado
7891515556341;HOT POCKET SADIA X BURGUER BARBECUE;Desbloqueado;R$ 13,99;0;Não Informado
Não Informado;HOT POCKET XPICANHA;Desbloqueado;R$ 13,99;0;Não Informado
7891515556327;HOT POCKET CHEDDAR CREMOSO;Desbloqueado;R$ 13,99;0;Não Informado
7892840822309;CHEETOS REQUEIJÃO 160G;Desbloqueado;R$ 19,99;2;Não Informado
7892840233945;FANDANGOS PRESUNTO 160G;Desbloqueado;R$ 14,99;0;Não Informado
7892840823245;CHEETOS ASSADO;Desbloqueado;R$ 13,99;0;Não Informado
7892840822446;DORITOS (TODOS OS SABORES);Desbloqueado;R$ 19,99;0;Não Informado
7892840822736;CHEETOS LUA 143G;Desbloqueado;R$ 16,99;0;Não Informado
07892840814762;CEBOLITOS 190G;Desbloqueado;R$ 22,99;2;Não Informado
7897859000168;PÃO DE QUEIJO DUDUXO SABORES1KG;Desbloqueado;R$ 15,99;0;Não Informado
7894900680508;SPRITE FRESH 500ML;Desbloqueado;R$ 4,99;0;Não Informado
7058745401;FRUTELLA;Desbloqueado;R$ 3,59;0;Não Informado
7896045506064;HEINEKEN ZERO ALCOOL LATA;Desbloqueado;R$ 2,99;0;Não Informado
Não Informado;LAKA DIAMANTE NEGRO;Desbloqueado;R$ 8,29;0;Não Informado
Não Informado;CHEETOS MIX;Desbloqueado;R$ 19,99;1;Não Informado
Não Informado;PIPOCA YOKI;Desbloqueado;R$ 5,59;0;Não Informado
Não Informado;AÇÚCAR UNIÃO REFINADO;Desbloqueado;R$ 5,99;0;Não Informado
Não Informado;MISTURA PARA BOLO CHOCOLATE ITALAC;Desbloqueado;R$ 5,49;0;Não Informado
07894900095159;FANTA BEETLE JUICE LATA;Desbloqueado;R$ 3,99;0;Não Informado
7894900558029;SUCO LARANJA DEL VALE 1,5L;Desbloqueado;R$ 5,49;0;Não Informado
7891164110031;NUGGETS AURORA CROCANTE 900G;Desbloqueado;R$ 21,99;0;Não Informado
7891991004275;GUARANA ANTARTICA LATA 350 ML;Desbloqueado;R$ 4,49;2;Não Informado
7898133401602;BATATA PALHA KARI-KARI 100G;Desbloqueado;R$ 7,69;0;Não Informado
7896094906778;DESODORANTE MONANGE (TODOS);Desbloqueado;R$ 15,99;3;Não Informado
7896051114024;CREME DE LEITE CAIXA ITAMBÉ;Desbloqueado;R$ 5,79;0;Não Informado
7896045507054;AMSTEL LONG NECK;Desbloqueado;R$ 5,90;0;Não Informado
7894900050011;FANTA UVA LATA;Desbloqueado;R$ 3,99;0;Não Informado
7891000376928;BONO DOCE DE LEITE;Desbloqueado;R$ 3,49;0;Não Informado
7898930142654;MOLHO DE TOMATE SALSARETTI;Desbloqueado;R$ 3,19;2;Não Informado
7892840822934;FANDANGOS PRESUNTO 250G;Desbloqueado;R$ 22,99;0;Não Informado
Não Informado;PASTA DE DENTE (TODAS AS MARCAS);Desbloqueado;R$ 7,59;0;Não Informado
7891022100372;DETERGENTE LIMPOL;Desbloqueado;R$ 2,99;0;Não Informado
7898080640413;LEITE CONDENSADO ITALAC;Desbloqueado;R$ 7,99;0;Não Informado
